rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
15254,9045521,1,,0.927928,7.24E-06,131.967,3.53E-03,9.92E-04,5.09E+03,3.84,5.21E+00,1.48E+02,6.50E+01,1.65E+01,1.981,1.91E+00,2.58E+03,6.50E+02,,,6409,207,4.08,0.26,1.622,0.811,UNK
15255,9045521,2,,0.536821,1.13E-05,131.621,2.18E-03,3.82E-01,9.30E+00,1.274,4.41E-01,2.31E+02,3.38E+01,1.09E+01,2.522,2.00E+00,3.09E+03,7.80E+02,,,6409,207,4.08,0.26,1.622,0.811,AFP
15256,9072011,1,,0.953509,8.69E-06,131.915,4.42E-03,9.02E-01,1.26E-01,3.061,1.28E+00,1.67E+02,1.41E+01,1.26E+01,3.287,3.68E-01,2.96E+03,5.98E+02,,,6718,283,3.95,0.24,2.177,0.861,AFP
15257,9072011,2,,0.9535,1.28E-05,132.384,7.55E-03,9.51E-01,4.66E-02,2.388,7.14E-01,1.35E+02,1.62E+01,9.42E+00,3.11,3.09E-01,2.96E+03,5.98E+02,,,6718,283,3.95,0.24,2.177,0.861,AFP
15258,9072190,1,,49.1012,2.06E-04,136.471,3.66E-03,7.11E-01,5.51E-01,6.407,5.23E-01,8.05E+02,2.34E+01,3.59E+01,2.801,5.01E-01,4.77E+02,9.67E+01,,,5807,186,4.52,0.29,0.922,0.369,PC
15259,9095245,1,,5.56787,7.82E-05,135.752,1.02E-02,2.61E-01,1.19E+01,6.199,4.49E-01,1.90E+01,2.39E+00,8.16E+00,1.757,8.79E-01,2.80E+03,5.66E+02,,,9328,411,3.67,0.3,3.926,1.548,UNK
15260,9095292,1,,0.987001,1.10E-05,132.355,2.92E-03,4.09E-01,3.15E+00,3.443,1.29E+00,2.09E+01,2.66E+00,9.76E+00,0.6657,1.94E-01,2.40E+03,6.32E+02,,,6474,189,4.18,0.28,1.422,0.743,NTP
15261,9095849,1,,1.57187,2.43E-05,132.93,5.24E-03,5.60E-01,2.97E+00,7.467,9.87E+00,1.89E+01,2.82E+00,7.04E+00,0.6422,2.79E-01,2.06E+03,5.41E+02,,,6596,197,4.21,0.29,1.416,0.737,NTP
15262,9097120,1,,23.8996,4.66E-06,141.183,1.63E-04,9.76E-01,3.00E-02,3.803,1.40E-02,2.11E+04,4.64E+01,5.62E+02,21.77,2.05E+00,6.52E+02,1.30E+02,,,6192,207,4.5,0.29,0.924,0.362,AFP
15263,9115800,1,,4.45419,2.99E-07,132.733,4.62E-05,6.56E-01,9.03E-03,2.409,8.44E-03,1.63E+04,1.94E+01,1.01E+03,12.36,3.68E-02,1.02E+03,3.01E+02,,,5359,178,4.42,0.38,0.915,0.539,PC
15264,9116075,1,,24.4989,1.96E-04,154.669,6.62E-03,9.68E-03,4.21E+02,3.158,1.73E-01,1.59E+02,1.56E+01,1.05E+01,0.7292,9.32E-01,4.10E+02,2.54E+01,,,4517,131,4.68,0.06,0.601,0.066,UNK
15265,9116568,1,,0.792563,1.53E-05,131.631,4.22E-03,3.00E-01,9.05E+00,1.986,6.73E-01,8.71E+00,1.76E+00,6.51E+00,0.7461,3.82E-01,3.76E+03,7.00E+02,,,7809,322,3.93,0.23,2.473,0.897,NTP
15266,9150012,2,,0.952916,1.14E-05,131.801,2.56E-03,9.39E-01,1.95E-01,2.179,1.93E+00,3.35E+01,4.84E+00,9.15E+00,1.034,2.60E-01,2.66E+03,6.69E+02,,,7063,266,4.18,0.28,1.484,0.737,AFP
15267,9150012,3,,1.48463,1.43E-05,132.397,3.27E-03,7.16E-01,1.34E+00,5.1,3.76E+00,5.73E+01,7.21E+00,8.79E+00,1.208,3.99E-01,2.30E+03,5.77E+02,,,7063,266,4.18,0.28,1.484,0.737,AFP
15268,9150012,4,,1.48448,1.60E-05,131.764,4.11E-03,8.96E-01,2.46E-01,4.466,3.27E+00,5.22E+01,6.47E+00,9.42E+00,1.241,2.37E-01,2.30E+03,5.77E+02,,,7063,266,4.18,0.28,1.484,0.737,AFP
15269,9165393,2,,0.660847,1.18E-05,132.058,6.46E-03,9.53E-01,6.98E-02,1.64,9.72E-01,4.61E+01,4.30E+00,1.35E+01,2.05,2.36E-01,4.01E+03,8.65E+02,,,7892,318,3.95,0.27,2.463,1.044,UNK
15270,9166386,1,,9.30624,5.49E-05,138.87,4.66E-03,9.06E-02,2.55E+01,15.08,9.47E-01,1.09E+02,1.16E+01,1.18E+01,1.5,6.23E-01,1.13E+03,3.37E+02,,,6561,243,4.22,0.33,1.427,0.843,NTP
15271,9166700,1,,264.464,6.15E-04,134.978,2.13E-03,8.38E-01,7.41E-02,6.759,2.04E-01,4.97E+02,1.90E+01,2.83E+01,5.109,2.31E-01,4.33E+02,8.31E+01,,,6543,197,3.97,0.26,2.04,0.774,PC
15272,9166826,1,,0.736762,3.96E-05,131.577,1.09E-02,9.00E-01,1.04E+00,2.233,8.49E+00,7.59E+00,3.00E+00,2.81E+00,0.5564,4.30E-01,3.09E+03,1.08E+03,,,7261,342,4.16,0.39,1.742,1.199,UNK
