rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
4559,5385410,1,,11.4959,6.18E-05,139.375,4.37E-03,1.03E-01,5.07E+01,2.354,2.17E-01,1.17E+02,9.60E+00,1.35E+01,1.637,1.70E+00,1.06E+03,2.83E+02,,,6290,213,4.13,0.27,1.506,0.8,PC
4620,5385410,2,,12.4261,2.08E-04,141.495,1.33E-02,8.28E-01,2.39E-01,17.86,7.28E-01,6.57E+01,4.39E+00,1.47E+01,1.366,1.66E-01,1.03E+03,2.76E+02,,,6290,213,4.13,0.27,1.506,0.8,AFP
4621,5385410,3,,12.4249,2.28E-04,134.047,1.46E-02,2.56E-01,1.30E+01,19.54,2.30E+00,5.46E+01,4.26E+00,1.38E+01,1.122,7.79E-01,1.03E+03,2.76E+02,,,6290,213,4.13,0.27,1.506,0.8,AFP
4625,5389066,1,,713.072,1.92E-02,131.768,1.92E-02,7.17E-01,1.89E+00,10.17,1.67E+00,1.83E+02,1.05E+02,2.01E+00,1.448,1.03E+00,2.13E+02,4.42E+01,,,6122,181,4.47,0.29,0.996,0.409,UNK
4676,5648096,1,,1.79559,1.46E-05,132.048,4.04E-03,8.99E-01,6.17E-01,2.865,9.34E-01,9.31E+01,9.16E+00,1.17E+01,2.256,1.01E+00,2.75E+03,6.66E+02,,,8211,327,4.08,0.29,2.013,0.962,NTP
4677,5648096,2,,0.897772,1.55E-05,131.909,5.22E-03,7.00E-01,2.75E+00,2.837,3.25E+00,5.90E+01,8.66E+00,9.01E+00,1.658,1.05E+00,3.46E+03,8.39E+02,,,8211,327,4.08,0.29,2.013,0.962,NTP
4678,5648096,3,,0.689568,2.99E-05,131.742,1.30E-02,9.00E-01,2.09E+00,2.216,1.81E+01,2.53E+01,8.00E+00,4.34E+00,1.176,1.76E+00,3.78E+03,9.16E+02,,,8211,327,4.08,0.29,2.013,0.962,AFP
4716,5215465,1,,2.65971,2.10E-02,132.32,3.44E+00,9.96E-01,1.95E+01,0.8127,2.00E+02,1.85E-01,5.37E+01,5.31E-03,0.06582,1.96E+01,1.41E+03,2.28E+02,,,6210,237,4.45,0.23,1.033,0.323,UNK
4736,5355882,1,,8.74433,1.85E-04,133.577,1.67E-02,6.19E-01,2.03E+00,15.35,2.25E+00,3.30E+01,3.32E+00,9.86E+00,0.3859,1.71E-01,7.04E+02,4.69E+01,,,5308,172,4.62,0.07,0.643,0.075,NTP
4753,5033298,1,,0.664162,7.08E-05,132.011,2.19E-02,6.04E-01,4.78E+00,2.825,6.19E+00,5.07E+00,3.41E+00,1.48E+00,0.3648,3.12E-01,2.91E+03,9.02E+02,,,6817,297,4.19,0.34,1.542,0.947,AFP
4762,5103998,1,,174.77,2.57E-05,172.472,1.18E-04,9.25E-01,1.16E-01,2.354,1.25E-02,6.89E+04,2.16E+02,4.37E+02,31.8,6.91E+00,2.94E+02,6.12E+01,,,5693,168,4.57,0.28,0.802,0.331,AFP
4774,5201596,1,,0.507272,1.18E-05,131.776,2.48E-03,2.04E-02,2.99E+02,1.692,1.85E+00,5.35E+01,7.96E+00,1.01E+01,0.5749,8.54E-01,1.97E+03,3.65E+02,,,5465,168,4.58,0.24,0.798,0.292,AFP
4853,5308296,1,,36.7218,8.12E-04,151.244,1.95E-02,6.21E-01,4.50E+00,7.75,2.24E+00,5.17E+02,5.65E+01,9.24E+00,1.998,2.07E+00,5.00E+02,9.92E+01,,,5679,186,4.55,0.27,0.841,0.329,PC
4897,5202905,1,,22.8243,8.13E-05,144.478,2.98E-03,7.02E-01,4.13E-01,6.974,2.61E-01,2.86E+02,7.65E+00,3.85E+01,3.343,3.45E-01,9.47E+02,1.22E+02,,,6642,178,4.06,0.17,1.846,0.466,PC
